no,ulasan,entity,GT,split
2525,"
Mantab dan nyaman tempatnya",Mall Olympic Garden,D,Mall Olympic Garden_D
2526,"
Parkiran nyaman di belakang gor, full discon akhir tahun, bisa ngopi dan rokokan dibelakang, mantabs untuk cuci mata, pertahankan",Mall Olympic Garden,D,Mall Olympic Garden_D
2527,"
bagusssss ada banyak tenant seperti Nike Adidas",Mall Olympic Garden,D,Mall Olympic Garden_D
2528,"
Sudah rame..",Mall Olympic Garden,D,Mall Olympic Garden_D
2531,"
Ada samsat corner di mog",Mall Olympic Garden,N,Mall Olympic Garden_N
2532,"
Tetap alternatif dimasa pandemi seperti saat ini. Prokes okey dan scurity ramah, tulus menolong.",Mall Olympic Garden,D,Mall Olympic Garden_D
2533,"
Tempat ini bisa menjadi nyaman bagi pengunjung...",Mall Olympic Garden,D,Mall Olympic Garden_D
2534,"
Luas",Mall Olympic Garden,D,Mall Olympic Garden_D
2536,"
He he menyenangkan",Mall Olympic Garden,D,Mall Olympic Garden_D
2537,"
sip",Mall Olympic Garden,D,Mall Olympic Garden_D
2538,"
Tempat.nya cozy banget, terus banyak sekali pilihan tempat yang bisa dikunjungi. Bisa berjam2 betah disini. Apalagi informa sama Ace hardware",Mall Olympic Garden,D,Mall Olympic Garden_D
2539,"
Mall andalan tengah kota malang, cukup lengkap namun syg blm ada 21 / bioskop",Mall Olympic Garden,TD,Mall Olympic Garden_TD
2540,"
Tempat bersih",Mall Olympic Garden,D,Mall Olympic Garden_D
2541,"
Andalan",Mall Olympic Garden,D,Mall Olympic Garden_D
2542,"
Parkiran mobil lebih luas",Mall Olympic Garden,D,Mall Olympic Garden_D
2543,"
Mall terlengkap dijantung kota Malang dengan area parkir yg luas dan dilengkapi dg fasilitas Hotel berbintang'Aria Gajayana' dan dibelakang ada Stadion Gajayana tertua di kota Malang",Mall Olympic Garden,D,Mall Olympic Garden_D
2544,"
MOG masih sepi,banyak yg kosong STAN d dalam MOG,semoga thn depan sudah rame lg",Mall Olympic Garden,TD,Mall Olympic Garden_TD
2545,"
Nyaman, bersih, bagus, banyakin lagi promonya ya hehe",Mall Olympic Garden,D,Mall Olympic Garden_D
2546,"
Mall yg lengkap dan terbesar di malang",Mall Olympic Garden,D,Mall Olympic Garden_D
2548,"
Tempat nyaman",Mall Olympic Garden,D,Mall Olympic Garden_D
2549,"
Sequrity tidak ramah",Mall Olympic Garden,TD,Mall Olympic Garden_TD
2550,"
smg brandnya nambah deh",Mall Olympic Garden,TD,Mall Olympic Garden_TD
2551,"
mall terbesar di malang(?). bersih, cuma toiletnya berbayar:(",Mall Olympic Garden,TD,Mall Olympic Garden_TD
2554,"
Cukup enjoy tinggal park area bacement perlu tambahan personil pas parking mulai padat",Mall Olympic Garden,D,Mall Olympic Garden_D
2555,"
Mantapp, ada 3 second juga disini",Mall Olympic Garden,D,Mall Olympic Garden_D
2556,"
Mantepp outlet nya makin nambah nih MOG. Ada iBox, fore, Kokumi mantap!",Mall Olympic Garden,D,Mall Olympic Garden_D
2557,"
Lekas rame lagi kayak dulu",Mall Olympic Garden,N,Mall Olympic Garden_N
2558,"
Mall terbesardan terlengkap di tengah Kota Malang",Mall Olympic Garden,D,Mall Olympic Garden_D
2560,"
Cocok untuk belaja dan foya foya",Mall Olympic Garden,D,Mall Olympic Garden_D
2561,"
Gaperlu alasan buat rate bintang 5.",Mall Olympic Garden,D,Mall Olympic Garden_D
2562,"
AMAN . NYAMAN. MALL OLYMPIC GARDEN KEREN
PROTOKOL KESEHATAN MASIH BERLAKU",Mall Olympic Garden,D,Mall Olympic Garden_D
2563,"
Ada cuci helmnya,di basment bersih harum wangi",Mall Olympic Garden,D,Mall Olympic Garden_D
2564,"
Rame~",Mall Olympic Garden,D,Mall Olympic Garden_D
2565,"
Mantap",Mall Olympic Garden,D,Mall Olympic Garden_D
2567,"
Oke",Mall Olympic Garden,D,Mall Olympic Garden_D
2568,"
Nyaman, luas",Mall Olympic Garden,D,Mall Olympic Garden_D
2569,"
Tempatnya bersih nyaman..pelayananya bagus dan ramah fasilitas oke..ðŸ‘ðŸ‘ðŸ‘",Mall Olympic Garden,D,Mall Olympic Garden_D
2570,"
Maaf...
Smooking Areanya sudah tidak spt dulu lagi...
Kotor, kumuh & tdk terawat...
Terima kasih...",Mall Olympic Garden,TD,Mall Olympic Garden_TD
2572,"
Lengkap disini dan berdampingan dengan transmart",Malang Town Square,D,Malang Town Square_D
2573,"
Tempat utk memanjakan keluarga, mall lengkap di kota Malang, parkir ada 4 lantai, tersedia protokol kesehatan dan wajib masker dan vaksin.... Ada foodcourt di masing2 lantai... Tempat jujugan jika berkunjung ke kota Malang....",Malang Town Square,D,Malang Town Square_D
2574,"
playground selalu menjadi lokasi utama selain belanja di hypermart.",Malang Town Square,D,Malang Town Square_D
2575,"
Tambah bgus",Malang Town Square,D,Malang Town Square_D
2576,"
Bagus",Malang Town Square,D,Malang Town Square_D
2578,"
Seruuu",Malang Town Square,D,Malang Town Square_D
2579,"
Suasananya nyaman, ada spot foto juga di dekat hypermart",Malang Town Square,D,Malang Town Square_D
2580,"
beli batik di matahari",Malang Town Square,N,Malang Town Square_N
2581,"
Bagus bersih",Malang Town Square,D,Malang Town Square_D
2582,"
Mall paling""Instagramable"" di Malang",Malang Town Square,D,Malang Town Square_D
2583,"
Bagus",Malang Town Square,D,Malang Town Square_D
2584,"
Lama tdk ngemall",Malang Town Square,N,Malang Town Square_N
2585,"
Selalu ramai",Malang Town Square,D,Malang Town Square_D
2586,"
banyak makanan enak",Malang Town Square,D,Malang Town Square_D
2587,"
Kenapa tmpt parkir motor basement byk genangan airnya, d tambah aroma pesing. Mohon diperbaiki",Malang Town Square,TD,Malang Town Square_TD
2588,"
Ramai dan ramah",Malang Town Square,D,Malang Town Square_D
2589,"
Mbak2 yg jaga toilet bawah hypermart nyebelinnya minta ampun ðŸ˜Š",Malang Town Square,TD,Malang Town Square_TD
2590,"
Ya mall nya variasi jualan bnyak",Malang Town Square,D,Malang Town Square_D
2594,"
Salah satu mall d malang yg cukup besar.
Kesana selalu ruame",Malang Town Square,D,Malang Town Square_D
2595,"
Bagus tempatnya...cocok untuk event",Malang Town Square,D,Malang Town Square_D
2597,"
Trempat belanja terlengkap di malang",Malang Town Square,D,Malang Town Square_D
2598,"
Selalu ramai dan padat",Malang Town Square,D,Malang Town Square_D
2599,"
Salah satu mall ICONIC di malang, anda bisa berbelanja beberapa kebutuhan sehari-hari,dan bisa menjadi tempat untuk bermain bersama keluarga.",Malang Town Square,D,Malang Town Square_D
2601,"
Tempat sangat strategis",Malang Town Square,D,Malang Town Square_D
2602,"
Bagus",Malang Town Square,D,Malang Town Square_D
2603,"
Bagus",Malang Town Square,D,Malang Town Square_D
2604,"
3secondnya bagus banyak pilihanðŸ˜‰",Malang Town Square,D,Malang Town Square_D
2605,"
Mall nomer satu di malang",Malang Town Square,D,Malang Town Square_D
2606,"
Baik",Malang Town Square,D,Malang Town Square_D
2607,"
kesini sama pacarku",Malang Town Square,N,Malang Town Square_N
2611,"
Mantap",Malang Town Square,D,Malang Town Square_D
2612,"
Ngunu"" ae pancet ket bien",Malang Town Square,TD,Malang Town Square_TD
2613,"
Ada Mushola diparkiran P7.",Malang Town Square,D,Malang Town Square_D
2614,"
Pameran Suzuki",Malang Town Square,N,Malang Town Square_N
2615,"
Indah",Malang Town Square,D,Malang Town Square_D
2616,"
tempat berbelanja yang lengkap, parkir luas, ada bioskop dan arena bermain untuk anak. mulai dari fashion, elektronik, hingga kuliner semuanya tersedia lengkap disini. tersedia pula gerai Matahari, Hypermart, dll, yang menawarkan beragam diskon. Untuk musholla tersedia di lantai atas.",Malang Town Square,D,Malang Town Square_D
2617,"
Belanja nyaman dan terlengkap di malang town square, Belanja dengan si buah hati tetep berhati hati ya, dan selalu di dampingi ketika berada di area mall.

Tetap patuhi protokol kesehatan ya gaes, agar belanja tetap aman dan nyaman, dan agar pandemi ini cepat berakhir",Malang Town Square,D,Malang Town Square_D
2618,"
Keren abis. Fell like on the sky",Malang Town Square,D,Malang Town Square_D
2619,"
Jln"" sambil nonton Spiderman ðŸ•¸ðŸ•·ðŸ•¸ðŸ•·",Malang Town Square,D,Malang Town Square_D
2620,"
menyenangkan",Malang Town Square,D,Malang Town Square_D
2621,"
Steak enak murah",Malang Town Square,D,Malang Town Square_D
2622,"
Mall mahasiswa",Malang Town Square,N,Malang Town Square_N
2623,"
Mall paling lengkap tapi lumayan rame, walaupun weekday",Malang Town Square,D,Malang Town Square_D
2624,"
MantaP",Malang Town Square,D,Malang Town Square_D
2625,"
Pelayanan lengkap,arsitektur bangunannya megah",Malang Town Square,D,Malang Town Square_D
2626,"
Tempat yang asik buat maen bersama keluarga, outlet toko lengkap dengan label toko2 ternama, ada hypermart juga, ada timezone buat bermain, bioskop dan rooftop yg cantik instagramable, kalau ke malang wajib nih kunjungi matos, kebetulan cuma foto rooftopnya aja ya sobat.. Hehe",Malang Town Square,D,Malang Town Square_D
2628,"
tempatnya bagus...apalagi rooftop nya cocok buat kumpul - kumpul sama temen",Malang Town Square,D,Malang Town Square_D
2629,"
Mall rapi, AC dingin",Malang Town Square,D,Malang Town Square_D
2632,"
Enak buat belanja",Malang Town Square,D,Malang Town Square_D
2635,"
Bersih",Malang Town Square,D,Malang Town Square_D
2636,"
ðŸ‘ðŸ‘ðŸ‘ðŸ‘ pusat perbelanjaan terpadu dan modern semua kebutuhan keluarga ada disini sekaligus sebagai tempat rekreasi dan refreshing",Malang Town Square,D,Malang Town Square_D
2637,"
Miss you, ngemall",Malang Town Square,N,Malang Town Square_N
2638,"
Mall di kota malang",Malang Town Square,N,Malang Town Square_N
2639,"
Bayar parkir meskipun hanya lewat mengantar dilobby",Malang Town Square,TD,Malang Town Square_TD
2640,"
Mall yg paling nyaman dan bersih â¤ï¸ðŸ‘",Malang Town Square,D,Malang Town Square_D
2641,"
prokesðŸ‘",Malang Town Square,D,Malang Town Square_D
2642,"
Mall ini agak jauh dari kota sih, tapi dia dekat dgn kampusÂ² terkenal kota Malang spt kampus UB salah satunya, tempat yg pas utk nongkrong para muda mudi disini, selain banyak outlet-outlet makanan & minuman, disini juga banyak spot utk fotoÂ² atau selfieÂ²..selain itu ada juga Hypermart klo kita mau belanja keperluan rumah tangga..",Malang Town Square,D,Malang Town Square_D
2643,"
Tempat favorit bersama keluargaðŸ˜",Malang Town Square,D,Malang Town Square_D
2644,"
Kamar mandi berbayar tapi bau dan kotor...
Harusnya kalau berbayar bersih rapi dan wangi... cek lagi fungsi toilet nya",Malang Town Square,TD,Malang Town Square_TD
2645,"
Cocok buat yg mau healing nih..",Malang Town Square,D,Malang Town Square_D
2646,"
Spot Foto banyak yg menarik",Malang Town Square,D,Malang Town Square_D
2647,"
tidak begitu ramai, harus scan barcode peduli lindungi",Malang Town Square,D,Malang Town Square_D
2648,"
WC UMUM di lantai paling atas MATOS adalah WC UMUM paling bersih di dlm kota Mlg .
TOP standard Internasional ! Berbayar pastilah, karena perlu perawatan dan perhatian khusus.
Kesehatan dan kebersihan tetap NO 1.
SEMOGA TETAP DI PERTAHANKAN !",Malang Town Square,D,Malang Town Square_D
2649,"
Wow",Malang Town Square,D,Malang Town Square_D
2650,"
Mall Favourite sejak Sekolah. .",Malang Town Square,D,Malang Town Square_D
2651,"
bagusss mallnyaa, ada bioskop foodcourt",Malang Town Square,D,Malang Town Square_D
2652,"
tempatnya strategis,banyak pilihan tokonya",Malang Town Square,D,Malang Town Square_D
2653,"
Baik",Malang Town Square,D,Malang Town Square_D
2654,"
Tempat yg nyaman utk berbelanja, sayangnya utk ke toilet hrs bayar..ini cukup merepotkan bila kebetulan sdg gak bawa uang cash / receh",Malang Town Square,TD,Malang Town Square_TD
2655,"
Tempat nongkrong dan belanja yang rapi dan bersih",Malang Town Square,D,Malang Town Square_D
2656,"
Syg ga ada atm BCA yaa",Malang Town Square,TD,Malang Town Square_TD
2657,"
Setelah sekian lama tidak ngemall akhirnya Matos ini tempat pertama yang dikunjungi. Stan2nya sdh byk yg buka, cuma untuk makanan tertentu termasuk mahal. Minumannya okelah standar mall",Malang Town Square,D,Malang Town Square_D
2658,"
Gud",Malang Town Square,D,Malang Town Square_D
2660,"
Sepi tempatnya...",Malang Town Square,TD,Malang Town Square_TD
2661,"
Nyaman, bersih",Malang Town Square,D,Malang Town Square_D
2662,"
Salah satu mall yg nyaman buat nongky2",Malang Town Square,D,Malang Town Square_D
2663,"
Mall terlengkap di Malang.. haha..",Malang Town Square,D,Malang Town Square_D
2664,"
Mau cari apa... Di matos aja",Malang Town Square,D,Malang Town Square_D
2666,"
Tempatnya mematuhi potokol kesehatan, wajib masker, aplikasi peduli lindungi, dan pasti cek suhu badan dan handsanitizer. Bersih seperti biasanya, tempat parkir yg bagian bawah padat, tp ada parkir atas juga untuk sepeda motor.",Malang Town Square,D,Malang Town Square_D
2667,"
Mall dekat UM",Malang Town Square,N,Malang Town Square_N
2668,"
Indah",Malang Town Square,D,Malang Town Square_D
2669,"
Lengkap",Malang Town Square,D,Malang Town Square_D
2670,"
Baik",Malang Town Square,D,Malang Town Square_D
2671,"
Sudah rame..",Malang Town Square,D,Malang Town Square_D
2672,"
mall yg bersih, ada toilet untuk anak dan orang dewasa di first floor dan banyak spot untuk foto selfie",Malang Town Square,D,Malang Town Square_D
2674,"
Baru kali ini tau di matos ada spot foto",Malang Town Square,N,Malang Town Square_N
2675,"
langganan ngab",Malang Town Square,N,Malang Town Square_N
2677,"
Sepi",Malang Town Square,TD,Malang Town Square_TD
2678,"
selalu puas. untuk ukuran malang. mall yg yg tdak terlalu luas tp lumayan lengkap utk pakaian dan sepatu dan banyak pilihan makan dan minum dan snack",Malang Town Square,D,Malang Town Square_D
2679,"
Walau pandemi Corona.... pengunjung lumayan banyak....prokes 3 M..... dilaksanakan dengan baik",Malang Town Square,D,Malang Town Square_D
2680,"
Parkir luas dan aman",Malang Town Square,D,Malang Town Square_D
2681,"
Keren",Malang Town Square,D,Malang Town Square_D
2682,"
Serep bos",Malang Town Square,D,Malang Town Square_D
2683,"
Bagus",Malang Town Square,D,Malang Town Square_D
2685,"
Luar biasa",Malang Town Square,D,Malang Town Square_D
2687,"
Semua ada, harga relatif.",Malang Town Square,D,Malang Town Square_D
2689,"
Kemarin nganter ngurus KIA skalian jalanÂ² dan belanja",Malang Town Square,N,Malang Town Square_N
2690,"
Pengaturan parkir motor gak jelas.",Malang Town Square,TD,Malang Town Square_TD
2691,"
Dari semua mall. Aku masih suka sama matos sih. Karena selain banyak tenan favorit, food court juga banyak. Apalagi sekarang dilantai atas ada tempat buat nongki dg dekor yg bagus banget. Rekomen bgt sih.",Malang Town Square,D,Malang Town Square_D
2695,"
Lumayan lengkap lah, standar mall,",Malang Town Square,D,Malang Town Square_D
2696,"
Keren mantap mantap mantap",Malang Town Square,D,Malang Town Square_D
2697,"
Tempat luas.
Bagus.
Selalu rame.
Lengkap dan banyak pilihan produk.
Banyak diskon pula ðŸ˜ŠðŸ˜Š",Malang Town Square,D,Malang Town Square_D
2699,"
Mulai rame",Malang Town Square,D,Malang Town Square_D
2702,"
Tempat yang nyaman",Indigo Space,D,Indigo Space_D
2704,"
Mantapppp sekali",Indigo Space,D,Indigo Space_D
2705,"
Coworking gokil yang sering banget ada acara, tempat asik, deket alun-alun. Kerja bisa sambil foto2. Apalagi ada yang jual siomay enak disitu. Mantull.",Indigo Space,D,Indigo Space_D
2706,"
Siiiiip bisa",Indigo Space,D,Indigo Space_D
2708,"
Enak tempatnya buat acara2 semacam workshop",Indigo Space,D,Indigo Space_D
2709,"
Cocok buat acara workshop dan jugak ada coworking space nya",Indigo Space,D,Indigo Space_D
2710,"
Banyak ilmu yg di amalkan oleh kakak yang ada dilo. Semoga ilmu yg kakak amalkan pada kita bermanfaat. Amiiiin",Indigo Space,D,Indigo Space_D
2711,"
Tempat menerima inspirasi kreatif kita",Indigo Space,D,Indigo Space_D
2712,"
Mantap cuman snacknya cuman dua ðŸ˜‚ðŸ˜‚",Indigo Space,TD,Indigo Space_TD
2713,"
Digital Lounge, tempat diadakannya acara acara Kelas Kreator TVOne",Indigo Space,N,Indigo Space_N
2714,"
Good place sayangnya wifi agak lemot",Indigo Space,TD,Indigo Space_TD
2715,"
Space ternyaman",Indigo Space,D,Indigo Space_D
2716,"
Ada grup komunitasnya, biar tahu banyak informasi dan gimana cara pakai ruang meetingnya. Ruangannya bersih, lokasinya cukup dekat sama stasiun, ada banyak penjual makanan dan minuman juga di halamannya, pas di depan JPO. Tempat parkirnya juga luas.",Indigo Space,D,Indigo Space_D
2717,"
Tempat meetup",Indigo Space,N,Indigo Space_N
2718,"
sipp pernah ngisi acara disini",Indigo Space,N,Indigo Space_N
2719,"
Cozy buat kerja",Indigo Space,D,Indigo Space_D
2720,"
Murah babget, wifi kenceng, pelayanan ok, kursinya lucu.",Indigo Space,D,Indigo Space_D
2722,"
Sukses selalu",Ruang Perintis,N,Ruang Perintis_N
2723,"
Mantaaab",Ruang Perintis,D,Ruang Perintis_D
2724,"
Lumayanlah",Ruang Perintis,D,Ruang Perintis_D
2725,"
Klo boleh sarannya mnding temboknya di cat kyk gni. Biar kliatan agak rpih dkit.",Ruang Perintis,TD,Ruang Perintis_TD
2726,"
Harga terjangkau",Ruang Perintis,D,Ruang Perintis_D
2727,"
Alhmdulillah tabbarakallahufikum fisabilillah ðŸ™ðŸ˜Š",Ruang Perintis,D,Ruang Perintis_D
2730,"
Afwan itu tempat apo yo",Ruang Perintis,N,Ruang Perintis_N
2731,"
Apa benar ini yg mmbuat chat quran?",Ruang Perintis,N,Ruang Perintis_N
2732,"
Wah hebat",Ruang Perintis,D,Ruang Perintis_D
2733,"
In sya allah bermanfaat",Ruang Perintis,D,Ruang Perintis_D
2734,"
Itu tempat Apa ya",Ruang Perintis,N,Ruang Perintis_N
2735,"
Mantapp sangat bermanfaat",Ruang Perintis,D,Ruang Perintis_D
2736,"
Tempatnya Sangat Bagus Dingin Juga Dalemnya ðŸ˜Š",Ruang Perintis,D,Ruang Perintis_D
2737,"
Ini sangat membantu sekali :)",Ruang Perintis,D,Ruang Perintis_D
2738,"
Asyik",Ruang Perintis,D,Ruang Perintis_D
2739,"
Cocok buat kerja, cuma suasananya menurut saya agak sempit dan pengap. Tidak tersedia cafe, tapi ada self service untuk teh dan kopi. Tempat parkir mobil di tepi jalan perumahan yang agak sempit",Ruang Perintis,TD,Ruang Perintis_TD
2740,"
Keren, bersih nyaman, wifi",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2741,"
mantap , tempatnya enak ,wifi kenceng ,cocok",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2742,"
Nyaman dan luas, cocok buat yang mau mengadakan event online / sekedar berkumpul.",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2743,"
nyaman banget! bersih, dingin, recommended!",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2744,"
Keren banget",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2745,"
Tempatnya bagus bersih nyaman",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2747,"
bagus",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2748,"
Tempatnya enak tenan gan, koneksi jga lancar serta ada private room buat meeting",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2750,"
Tempatnya nyaman dan luas, recommended ðŸ‘ðŸ»",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2751,"
Wifi lancar, nyaman bat, recomended deh...",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2752,"
Tempatnya nyaman",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2754,"
co working nya nyaman banget, dingin harum, dam kedap suara. tempat kerja nya juga bagus dan nyaman",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2756,"
Tempat nyaman dan bersih, wifi tidak lemot meskipun digunakan banyak orang",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2757,"
Tempatnya nyaman, enak untuk kuliah maupun kerja. Ada cafe juga untuk makan dan minum kalau lapar atau haus.",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2758,"
Tempatnya nyaman, luas, dan wifi lancar",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2759,"
tempat cozy dan cocok untuk meeting",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2760,"
tempatnya nyaman dan bersih, pelayanannya juga oke banget!!!",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2762,"
Mantap",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2763,"
nyaman banget buat nugas, adem, internet lancar jaya, toilet bersih, reccomended!",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2765,"
Tempat e keren banget. Nyaman. Enak buat belajar yang pake internet. Sangat rekomended untuk mahasiswa yang mau pake fasilitas di sini. Terimakasih",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2766,"
Tempat bagus menyenangkan, WiFi lancar, cocok buat meeting",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2767,"
Wifi banter, enak",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2768,"
Bagus,nyaman dan Bermanfaat",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2769,"
Nyaman & cozy",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2770,"
Biasanya kalo nugas dicaffe suka terlalu ribut dan jadinya ga konsen. Tapi akhirnya aku nemuin tempat ini yang bener2 buat nugas dan ngelakuin kegiatan yang butuh konsentrasi lebih ðŸ¤—",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2771,"
Tempatnya milenial banget cocok buat rapat skala kecil maupun besar. Jauh dari kata bising dan nyaman tentunya.",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2772,"
Tempatnya nyaman dan recommended untuk nugas, diskusi, maupun ngadain event",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2773,"
Co-working space yang nyaman, dengan koneksi internet yang juga mendukung.
Lokasi tempat yang cukup strategis dan deket dengan kampus, Buat teman-teman yang mau ke sini, tempatnya di bakorwil deket dengan mie gacoan. Tempat nya buka dari hari senin - sabtu.",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2774,"
Tempat ini cocok buat segala macam kegiatan. Fasilitas yang lengkap. Ada mushola, toilet, free wifi juga, dll. Suasana adem, nyaman, dan menyenangkan. Buat kalian kalo mau ngadain eventÂ² tertentu, kurasa ini tempatnya. Cocok! Soal harga, bisa langsung ke alamat webnya atau ig. COnya ramah, menerima semua keluh kesah, dan konsultasi. Jadi tunggu apalagi, grab it!",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2775,"
Cozy bgt buat meeting, dilengkapin kantin juga wifi",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2777,"
Tempatnya nyaman, bersih, dan enak banget buat dipake ngerjain sesuatu yang butuh tempat nyaman dan tentram.",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2778,"
Tempat cocok dan sangat reccomend digunakan untuk meeting atau menyelenggarakan pelatihan, karena tempat yang nyaman, luas, serta sejuk.",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2779,"
Co Working space yang sangat nyaman untuk melakukan meeting. Fasilitas lengkap dan pegawai yang ramah.",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2781,"
lokasinya mudah ditemui",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2782,"
Tempat yang rekomendasi untuk kelompok atau orang yang butuh ruang kerja yang nyaman dan elegant, pelayanan yang ramah dan wifi nya cepet",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2784,"
Tempat yang nyaman, sarana dan prasarana yang lengkap serta pelayanan yang raman dan sesuai",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2785,"
Sangat baik dan nyaman untuk melakukan pertemuan",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2786,"
Tempatnya strategis, bersih, rapi dan cocok untuk kegiatan workshop, mantapp",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2787,"
Sangat baik dan memuaskan seluruh sarana dan pelayanannya",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2788,"
Tempat kerja kuuu ðŸ˜Š nyaman, gratis, bisa networking sama banyak temen disini, ada mushola, kamar mandi bersih. Love EJSC",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2790,"
suasana nya enak, nyaman banget!!",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2791,"
Nyaman dan bisa buat diri sendiri jadi lebih produktif",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2792,"
yang bikin tenang kalo kerja tugas disini tuh musik-musiknya yang menyesuaikan dengan mood.",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2794,"
Senang dengan pelayanan yg disediakan. Pengalaman ga terlupakan bisa nyoba working space disini..",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2795,"
Wifi kencengg makanan komplit big thanks to EJSC MalanggðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2797,"
Mantap",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2798,"
bagus bersih",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2800,"
Nyaman tempatnyaa cocok buat organisasi dan start up",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2801,"
Mantap",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2802,"
Oke nih guys",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2803,"
Tempat gratis",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2804,"
Memuaskan",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2805,"
Nyaman dibuat untuk rapat",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2807,"
mantap",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2808,"
Pelayanan mudah dan gratis. Fasilitas eksklusif",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2810,"
Tempatnya nyaman, cozzy dozzy",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2812,"
ntap",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2813,"
Bagus tempatnya, nyaman, bersih",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2814,"
Bagus",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2815,"
Mantuls ðŸ‘ðŸ»",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2816,"
Fasilitas Pemerintah Pemprov Jatim yg luar biasa yg dibutuhkan para muda millenial ðŸ˜ðŸ‘",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2818,"
Coworking Keren dan GRATIS... hehehe",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2819,"
Salah satu coworking space di Malang yang berlokasi strategis di tengah kota dekat dengan kampus utama Polkesma Malang

MUSHOLLA
Tersedia musholla di area Bakorwil walau suara adzan sering tidak terdengar dari dalam coworking space. Dan cukup lengkap dan nyaman untuk beristirahat sembari beribadah di sana

PARKIR
â€¢ Ketika masuk diw",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2820,"
Pelayanannya sangat memuaskan, suasana nyaman sekali. Top cocok untuk nugas, kerja kelompok, meeting.",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
2821,"
Tempat menarik untuk kerja kolaborasi. Lokasinya strategis dekat Ijen Boulevard Kota Malang. Di bagian tengah ruang EJSC, tersedia meja bundar dg banyak colokan listrik dan Wifi gratis. Hiasan bunga Sakura makin menambah keindahan suasana ruangan.",East Java Super Corridor Malang,D,East Java Super Corridor Malang_D
